track_id,genre_id
000010,3
000141,1
000190,4
000193,2
000194,8
000210,8
000211,7
000213,3
000400,6
000425,1
000534,3
000536,2
000540,3
000546,3
000602,3
000605,7
000619,5
000620,6
000664,8
000667,5
000673,4
000674,6
000679,5
000680,2
000695,7
000696,4
000704,4
000708,4
000709,7
000714,6
000715,1
000718,3
000820,2
000823,3
000854,2
000868,2
000890,3
000893,1
000998,7
001029,4
001069,5
001082,6
001083,3
001117,7
001130,6
001193,2
001199,6
001249,6
001259,7
001270,8
001277,7
001498,8
001534,7
001649,7
001652,8
001674,2
001680,4
001685,6
001686,2
001688,8
001689,4
001703,2
001704,7
001705,3
001734,5
001736,7
001739,6
001894,7
001926,8
002099,2
003264,1
003265,3
003266,4
003272,6
003273,1
003516,2
003533,3
003534,3
003535,3
003537,3
003538,8
003551,5
003568,5
003570,3
003572,3
003579,3
003606,5
003618,8
003681,6
003720,6
003727,6
003775,7
003778,7
003895,5
003896,3
003905,3
003912,3
003920,6
003921,7
003923,1
003939,8
003942,2
003944,8
003946,7
003957,6
003983,6
004017,7
004024,3
004029,8
004032,7
004033,2
004066,5
004068,2
004072,7
004075,5
004080,7
004091,3
004093,1
004094,5
004097,6
004098,8
004100,2
004101,2
004102,8
004105,8
004193,6
004233,5
004234,5
004235,6
004239,8
004298,8
004299,2
004333,8
004348,7
004409,4
004445,3
004507,5
004510,2
004519,5
004522,1
004686,4
004701,5
004707,2
004752,6
004755,5
004778,1
004799,8
004846,1
004848,5
005140,3
005157,6
005158,3
005169,3
005178,5
005196,7
005269,2
005342,7
005376,1
005377,3
005379,1
005381,3
005510,2
005531,2
005600,7
005879,3
005936,1
006274,5
006329,7
006331,6
006354,7
006358,4
006360,5
006363,4
006366,1
006368,7
006370,7
006373,5
006379,5
006380,8
006383,8
006387,5
006390,8
006393,5
006439,6
006443,1
006448,6
006461,5
006463,8
006464,3
006465,3
006466,2
006469,3
006519,1
006525,8
006528,8
006606,4
006607,4
006609,2
006610,5
006660,5
006663,4
006674,5
006684,6
006752,4
006758,2
006779,5
006782,6
006785,5
006787,8
006803,6
006855,6
006856,3
006859,6
007123,8
007192,5
007197,8
007198,8
007376,8
007379,6
007452,8
007460,8
007485,4
007489,4
007491,8
007527,2
007529,7
007545,2
007552,8
007709,1
007712,6
008215,5
008256,3
008257,6
008260,2
008269,4
008270,8
008329,4
008331,6
008357,6
008363,6
008372,7
008450,4
008452,6
008489,3
009490,6
009492,7
009721,6
009846,6
009851,3
009852,6
009918,6
009986,2
009987,8
009994,5
010046,1
010108,7
010111,2
010160,5
010165,5
010186,3
010190,5
010376,7
010381,6
010382,6
010383,6
010384,2
010385,1
010387,3
010389,3
010438,1
010440,6
010441,5
010443,4
010445,6
010447,3
010451,2
010482,4
010484,1
010535,7
010568,4
010575,3
010669,4
010671,4
010678,8
010680,3
010681,6
010682,8
010683,1
010685,8
010805,4
010806,2
010807,7
010809,3
010932,7
010942,6
010943,7
010952,6
010954,6
010992,3
011030,8
011198,2
011204,2
011234,7
011261,4
011306,4
011333,6
011389,1
011417,4
011420,1
011426,1
011429,1
011430,1
011431,6
011432,1
011505,5
011508,7
011541,7
011544,6
011671,2
011672,6
011673,2
011674,8
011675,3
011677,3
011681,3
011695,1
011763,5
011764,3
011768,8
011772,8
011779,2
011785,3
011786,8
011794,5
011796,4
011819,4
011824,4
011828,4
011829,4
011834,2
011837,7
011840,7
011859,2
011862,4
011865,4
011867,4
011881,8
011885,4
011891,8
011892,3
011893,4
011895,6
011897,4
011916,3
011919,8
011920,2
011937,7
011976,6
011988,5
012045,5
012046,5
012050,8
012052,8
012053,3
012058,7
012059,2
012067,3
012068,4
012109,2
012147,8
012174,7
012179,7
012195,6
012348,4
012352,8
012369,4
012375,7
012376,7
012387,7
012390,7
012394,4
012421,4
012423,8
012481,2
012482,4
012483,5
012485,7
012486,1
012490,1
012509,6
012510,5
012515,6
012516,7
012518,8
012530,8
012531,6
012532,8
012537,2
012588,4
012608,8
012654,6
012691,6
012692,5
012835,5
012926,1
012927,1
012985,4
012986,5
012990,6
013014,6
013125,1
013197,1
013207,4
013218,6
013220,8
013362,8
013366,4
